Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Antonín Barák,CZE,Midfielder,Fiorentina,Serie A,28,1994,22,15,"1,318",14.6,2,2.0,2.0,3.0,1.9,1.4,3.3,32.0,76.0,0.14
Andrea Barberis,ITA,Midfielder,Monza,Serie A,29,1993,7,3,316,3.5,0,1.0,1.0,0.1,3.0,0.4,13.0,0,0,0
Bradley Barcola,FRA,"Forward,Midfielder",Lyon,Ligue 1,20,2002,18,8,777,8.6,3,3.0,6.0,3.0,2.2,2.2,1.9,30.0,23.0,89.0
Melvin Bard,FRA,Defender,Nice,Ligue 1,22,2000,23,19,"1,723",19.1,0,5.0,0.4,0.7,32.0,57.0,82.0,0.02,0.05,0.02
Keidi Bare,ALB,Midfielder,Espanyol,La Liga,25,1997,11,3,330,3.7,0,0.5,0.2,0.7,4.0,6.0,0,0,0,0
Nicolò Barella,ITA,Midfielder,Inter,Serie A,26,1997,26,24,"2,010",22.3,5,6.0,11.0,5.0,2.6,2.6,4.9,62.0,155.0,138.0
Kike Barja,ESP,"Forward,Midfielder",Osasuna,La Liga,25,1997,16,7,639,7.1,1,2.0,3.0,1.0,0.3,0.3,1.6,39.0,21.0,103.0
Ross Barkley,ENG,"Midfielder, FORWARD",Nice,Ligue 1,29,1993,19,7,701,7.8,3,2.0,5.0,3.0,3.4,3.4,1.2,18.0,28.0,36.0
Aymen Barkok,MAR,Midfielder,Mainz 05,Bundesliga,24,1998,16,2,399,4.4,0,1.0,1.0,1.0,11.0,0.3,0.8,0,23.0,0
Harvey Barnes,ENG,"Midfielder, FORWARD",Leicester City,Premier League,25,1997,25,24,"2,036",22.6,9,1.0,10.0,9.0,7.4,7.4,2.1,73.0,55.0,209.0
Leandro Barreiro Martins,LUX,Midfielder,Mainz 05,Bundesliga,23,2000,23,17,"1,499",16.7,2,3.0,5.0,2.0,1.9,1.9,2.0,12.0,40.0,36.0
Enzo Barrenechea,ARG,Midfielder,Juventus,Serie A,21,2001,2,2,113,1.3,0,0.1,0.1,5.0,1.0,0,0,0,0,0
Ander Barrenetxea,ESP,"Defender, Forward",Real Sociedad,La Liga,21,2001,11,5,411,4.6,2,2.0,2.0,3.0,1.2,1.2,12.0,7.0,0,0
Mickaël Barreto,FRA,Midfielder,Ajaccio,Ligue 1,32,1991,12,7,715,7.9,0,1.0,1.0,1.0,14.0,1.4,1.8,0,34.0,0
Pablo Barrios,ESP,Midfielder,Atlético Madrid,La Liga,19,2003,10,5,439,4.9,0,1.0,1.0,1.0,11.0,0.6,0.9,0,17.0,0
Musa Barrow,GAM,"Forward,Midfielder",Bologna,Serie A,24,1998,21,15,"1,198",13.3,2,2.0,4.0,2.0,2.0,2.0,2.8,32.0,28.0,79.0
Federico Baschirotto,ITA,Defender,Lecce,Serie A,26,1996,26,26,"2,340",26.0,3,3.0,3.0,5.0,1.5,0.3,1.8,8.0,9.0,0.12
Toma Baic,CRO,Midfielder,Lazio,Serie A,26,1996,18,4,422,4.7,0,2.0,0.5,0.3,11.0,15.0,20.0,0,0,0
Gil Bastião Dias,POR,Forward,Stuttgart,Bundesliga,26,1996,7,6,398,4.4,1,1.0,1.0,0.5,0.5,1.2,14.0,16.0,0,0
Alessandro Bastoni,ITA,Defender,Inter,Serie A,23,1999,21,19,"1,627",18.1,1,2.0,2.0,2.0,36.0,1.7,2.7,0.06,36.0,0.11
Simone Bastoni,ITA,"Midfielder, Defender",Spezia,Serie A,26,1996,13,12,946,10.5,2,2.0,4.0,2.0,1.1,1.1,0.9,12.0,24.0,55.0
Rodrigo Battaglia,ARG,Midfielder,Mallorca,La Liga,31,1991,15,8,686,7.6,0,5.0,0.2,0.2,3.0,3.0,0,0,0,0
Maximilian Bauer,GER,Defender,Augsburg,Bundesliga,23,2000,19,14,"1,233",13.7,1,6.0,1.6,0.3,8.0,25.0,2.0,0.12,0.14,0.12
Oliver Baumann,GER,Goalkeeper,Hoffenheim,Bundesliga,32,1990,25,25,"2,250",25.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Baumgartl,GER,Defender,Union Berlin,Bundesliga,27,1996,7,6,517,5.7,0,1.0,0.2,0.1,3.0,22.0,2.0,0,0,0
Julian Baumgartlinger,AUT,Midfielder,Augsburg,Bundesliga,35,1988,12,3,463,5.1,0,0.3,0.1,0.4,1.0,0,0,0,0,0
Christoph Baumgartner,AUT,"Midfielder, FORWARD",Hoffenheim,Bundesliga,23,1999,24,24,"1,910",21.2,5,3.0,8.0,5.0,5.5,5.5,3.9,59.0,80.0,113.0
Cyrille Bayala,BFA,Midfielder,Ajaccio,Ligue 1,26,1996,27,21,"1,642",18.2,1,1.0,2.0,1.0,1.9,1.0,1.9,40.0,3.8,58.0
Brian Bayeye,FRA,Defender,Torino,Serie A,22,2000,1,1,54,0.6,3,3.0,3.0,0,0.0,0.0,0.0,0,0,0
Noah Joel Sarenren Bazee,NGA,Forward,Augsburg,Bundesliga,26,1996,1,9,0.1,0.1,0,0.1,0,0,0.0,0,0,0.0,0,0
Gavin Bazunu,IRL,Goalkeeper,Southampton,Premier League,21,2002,28,28,"2,520",28.0,0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bebé,CPV,Forward,Rayo Vallecano,La Liga,32,1990,4,60,0.7,1.0,0,0.1,0.1,0.2,5.0,10.0,0,0,0,0
Ihlas Bebou,TOG,Forward,Hoffenheim,Bundesliga,28,1994,10,8,636,7.1,3,3.0,3.0,2.1,2.1,2.4,8.0,11.0,0,0
Rodrigo Becão,BRA,Defender,Udinese,Serie A,27,1996,21,21,"1,862",20.7,2,1.0,3.0,2.0,1.2,1.2,0.6,7.0,73.0,38.0
Mads Bech Sørensen,DEN,"Defender,Midfielder",Brentford,Premier League,24,1999,4,21,0.2,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Julius Beck,DEN,Midfielder,Spezia,Serie A,17,2005,1,10,0.1,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Sheraldo Becker,SUR,Forward,Union Berlin,Bundesliga,28,1995,25,24,"1,797",20.0,7,4.0,11.0,7.0,3.1,3.1,3.1,62.0,26.0,148.0
Jan Bednarek,POL,Defender,Southampton,Premier League,26,1996,10,10,822,9.1,0,1.0,0.4,0.1,1.0,18.0,2.0,0.04,0.05,0.04
Jan Bednarek,POL,Defender,Aston Villa,Premier League,26,1996,3,1,100,1.1,1,5.0,0,0,0.0,0.0,0.0,0,0,0
Donny van de Beek,NED,Midfielder,Manchester Utd,Premier League,25,1997,7,2,167,1.9,0,0.1,0.1,0.2,2.0,20.0,0,0,0,0
