Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
José Pozo,ESP,"Midfielder, FORWARD",Rayo Vallecano,La Liga,27,1996,7,1,84,0.9,4,0.1,0.1,6.0,0.0,0,0,0,0,0
Manuel Pozo,ESP,Forward,Valladolid,La Liga,21,2001,1,19,0.2,0.1,0,0.1,1.0,1.0,0.0,0,0,0,0,0
Alejandro Pozo Pozo,ESP,"Defender,Midfielder",Almería,La Liga,24,1999,20,13,"1,202",13.4,0,2.0,2.0,0.4,31.0,3.4,47.0,0.03,0.15,0.15
Dennis Praet,BEL,"Midfielder, FORWARD",Leicester City,Premier League,28,1994,16,5,539,6.0,1,1.0,1.0,1.0,0.6,0.3,0.9,13.0,36.0,0
Abdón Prats,ESP,"Forward,Midfielder",Mallorca,La Liga,30,1992,19,1,278,3.1,1,1.0,2.0,1.0,0.7,1.4,2.1,1.0,11.0,0
Sanjin Prcic,BIH,Midfielder,Strasbourg,Ligue 1,29,1993,24,17,"1,505",16.7,1,1.0,2.0,1.0,1.1,1.0,1.1,10.0,1.6,100.0
Isaac Price,NIR,Midfielder,Everton,Premier League,19,2003,1,33,0.4,1.0,1,0.1,0.1,1.0,0.0,0,0,0,0,0
Grischa Prömel,GER,Midfielder,Hoffenheim,Bundesliga,28,1995,13,13,"1,071",11.9,1,1.0,2.0,1.0,2.4,2.4,1.1,15.0,27.0,33.0
Ivan Provedel,ITA,Goalkeeper,Lazio,Serie A,29,1994,27,26,"2,423",26.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Puado,ESP,"Forward,Midfielder",Espanyol,La Liga,24,1998,25,16,"1,517",16.9,3,1.0,4.0,3.0,5.9,5.9,1.5,34.0,33.0,78.0
Mehdi Puch Herrantz,FRA,Midfielder,Ajaccio,Ligue 1,19,2004,2,23,0.3,0.1,3,0.1,3.0,1.0,0.0,0,0,0,0,0
Tymoteusz Puchacz,POL,Defender,Union Berlin,Bundesliga,24,1999,1,1,58,0.6,0,2.0,9.0,0,0.0,0,0,0.0,0,0
Arnau Puigmal,ESP,"Midfielder, Defender",Almería,La Liga,22,2001,14,2,393,4.4,0,3.0,0.6,0.2,17.0,11.0,32.0,0,0,0
Christian Pulisic,USA,"Forward, Defender",Chelsea,Premier League,24,1998,18,7,689,7.7,1,1.0,2.0,1.0,1.3,1.3,0.7,31.0,19.0,63.0
Ignacio Pussetto,ARG,"Midfielder, Defender",Sampdoria,Serie A,27,1995,5,1,152,1.7,0,1.0,0.2,0.2,2.0,1.0,17.0,0,0,0
Niklas Pyyhtiä,FIN,Midfielder,Bologna,Serie A,19,2003,4,66,0.7,0.1,0,0.1,1.0,4.0,1.0,0,0,0,0,0
Fabio Quagliarella,ITA,Forward,Sampdoria,Serie A,40,1983,17,2,396,4.4,1,2.0,1.6,0.2,3.0,13.0,42.0,0,0,0
Giacomo Quagliata,ITA,Defender,Cremonese,Serie A,23,2000,13,4,493,5.5,0,0.5,0.4,0.9,13.0,37.0,0,0,0,0
Joshua Quarshie,GER,Midfielder,Hoffenheim,Bundesliga,18,2004,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ghjuvanni Quilichini,FRA,Goalkeeper,Ajaccio,Ligue 1,20,2002,1,82,0.9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Domingos Quina,POR,Midfielder,Elche,La Liga,23,1999,10,2,275,3.1,0,3.0,1.0,0.2,12.0,0.6,17.0,0,0,0
Adrien Rabiot,FRA,Midfielder,Juventus,Serie A,27,1995,23,22,"1,938",21.5,7,3.0,10.0,7.0,4.2,3.8,1.7,40.0,96.0,67.0
Nemanja Radonjic,SRB,"Midfielder, FORWARD",Torino,Serie A,27,1996,24,12,"1,154",12.8,2,2.0,4.0,2.0,3.0,3.0,1.5,65.0,31.0,127.0
Ivan Radovanovic,SRB,"Midfielder, Defender",Salernitana,Serie A,34,1988,10,7,671,7.5,0,1.0,1.0,0.2,2.0,16.0,2.0,0,0,0
Ionu? Radu,ROU,Goalkeeper,Cremonese,Serie A,25,1997,9,9,810,9.0,0,0.4,0.4,0.04,0.0,0.04,0.0,0.0,0.0,0.0
Ionu? Radu,ROU,Goalkeeper,Auxerre,Ligue 1,25,1997,9,9,810,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Raillo,ESP,Defender,Mallorca,La Liga,31,1991,25,25,"2,250",25.0,1,1.0,2.0,1.0,0.4,0.4,0.5,8.0,43.0,4.0
Antonio Raimondo,ITA,Forward,Bologna,Serie A,19,2004,2,15,0.2,3.0,1,0,0,0,0.0,0.0,0.0,0,0,0.0
Predrag Rajkovic,SRB,Goalkeeper,Mallorca,La Liga,27,1995,26,26,"2,340",26.0,0,3.0,0.1,0.1,0.0,0.01,0.01,0.0,0.0,0.0
Ivan Rakitic,CRO,Midfielder,Sevilla,La Liga,35,1988,21,14,"1,193",13.3,1,2.0,3.0,1.0,2.9,3.0,1.0,34.0,1.6,2.9
Diant Ramaj,GER,Goalkeeper,Eint Frankfurt,Bundesliga,21,2001,1,1,90,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Largie Ramazani,BEL,"Forward,Midfielder",Almería,La Liga,22,2001,23,12,"1,185",13.2,3,3.0,3.0,1.0,3.6,2.9,0.9,48.0,28.0,76.0
Simon Ramet,FRA,Defender,Lille,Ligue 1,20,2003,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Adil Rami,FRA,Defender,Troyes,Ligue 1,37,1985,12,10,905,10.1,0,1.0,1.0,1.0,3.0,0.6,1.1,0.05,2.0,0.1
Chris Ramos,ESP,"Forward,Midfielder",Cádiz,La Liga,26,1997,6,110,1.2,1.0,0,0.4,0.5,1.0,4.0,0,0,0,0,0
Sergio Ramos,ESP,Defender,Paris S-G,Ligue 1,36,1986,24,22,"1,894",21.0,0,1.0,1.0,3.0,11.0,0.9,0.1,0.05,121.0,7.0
Aaron Ramsdale,ENG,Goalkeeper,Arsenal,Premier League,24,1998,28,28,"2,520",28.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,WAL,Midfielder,Nice,Ligue 1,32,1990,22,14,"1,243",13.8,1,1.0,2.0,1.0,2.2,2.2,1.4,18.0,92.0,56.0
Jacob Ramsey,ENG,"Midfielder, FORWARD",Aston Villa,Premier League,21,2001,24,20,"1,678",18.6,3,2.0,5.0,3.0,2.0,2.0,2.2,57.0,75.0,72.0
Luca Ranieri,ITA,Defender,Fiorentina,Serie A,23,1999,4,3,282,3.1,2,5.0,0,0,0.0,0,0,0,0,0
Andrea Ranocchia,ITA,Defender,Monza,Serie A,35,1988,1,1,47,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Filippo Ranocchia,ITA,Midfielder,Monza,Serie A,21,2001,14,5,530,5.9,1,1.0,1.0,1.0,1.2,0.4,1.6,13.0,15.0,0
Lilian Raolisoa,FRA,"Midfielder, Defender",Angers,Ligue 1,22,2000,2,47,0.5,0.4,1,0.4,2.0,5.0,0.0,0,0,0,0,0
Raphinha,BRA,Forward,Barcelona,La Liga,26,1996,25,15,"1,351",15.0,6,4.0,10.0,6.0,6.5,6.5,5.3,74.0,73.0,223.0
Nicolai Rapp,GER,"Midfielder, Defender",Werder Bremen,Bundesliga,26,1996,7,71,0.8,0.1,0,0.1,5.0,0,1.0,0,0,0,0,0
Elba Rashani,KVX,"Midfielder, Defender",Clermont Foot,Ligue 1,29,1993,22,17,"1,443",16.0,3,1.0,4.0,3.0,3.6,3.6,1.7,34.0,35.0,100.0
Marcus Rashford,ENG,Forward,Manchester Utd,Premier League,25,1997,26,24,"2,126",23.6,14,3.0,17.0,14.0,10.6,10.6,2.5,59.0,57.0,177.0
Giacomo Raspadori,ITA,"Forward,Midfielder",Napoli,Serie A,23,2000,15,7,580,6.4,1,1.0,1.0,1.0,2.4,0.6,3.0,8.0,52.0,0
Giacomo Raspadori,ITA,Forward,Sassuolo,Serie A,23,2000,1,45,0.5,2.0,0,4.0,0,0,0.0,0.0,0.0,0.0,0,0
Rafael Ratão,BRA,Forward,Toulouse,Ligue 1,27,1995,22,20,"1,401",15.6,5,2.0,7.0,5.0,4.7,4.7,2.7,47.0,62.0,163.0
David Raum,GER,"Defender, Forward",RB Leipzig,Bundesliga,24,1998,23,16,"1,385",15.4,0,2.0,2.0,4.0,38.0,4.5,5.0,0.03,109.0,0.13
Rayan Raveloson,MAD,"Defender,Midfielder",Auxerre,Ligue 1,26,1997,24,17,"1,551",17.2,1,1.0,1.0,1.7,1.7,2.0,63.0,26.0,0.06,0.06
David Raya,ESP,Goalkeeper,Brentford,Premier League,27,1995,27,27,"2,430",27.0,0,1.0,0.1,0.1,0.0,10.0,0.01,0.0,0.01,0.0
Tim Ream,USA,Defender,Fulham,Premier League,35,1987,27,27,"2,427",27.0,1,1.0,1.0,2.0,0.3,0.1,0.3,21.0,1.0,0.04
Ante Rebic,CRO,"Forward,Midfielder",Milan,Serie A,29,1993,17,6,621,6.9,3,2.0,5.0,3.0,2.4,2.4,1.6,10.0,18.0,53.0
Arkadiusz Reca,POL,Defender,Spezia,Serie A,27,1995,21,19,"1,610",17.9,1,1.0,2.0,1.0,0.7,0.7,1.3,64.0,58.0,66.0
Nathan Redmond,ENG,Defender,Southampton,Premier League,29,1994,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Reed,ENG,Midfielder,Fulham,Premier League,28,1995,26,26,"2,130",23.7,2,1.0,3.0,2.0,1.3,1.3,2.2,24.0,73.0,67.0
Sergio Reguilón,ESP,Defender,Atlético Madrid,La Liga,26,1996,4,87,1,2.0,5,1.0,6.0,11.0,0.0,0,0,0,0,0
Bobby Reid,JAM,"Forward, Defender",Fulham,Premier League,30,1993,26,25,"2,058",22.9,4,1.0,5.0,4.0,3.7,3.7,1.4,44.0,47.0,147.0
Pepe Reina,ESP,Goalkeeper,Villarreal,La Liga,40,1982,11,11,990,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Reine-Adélaïde,FRA,Midfielder,Troyes,Ligue 1,25,1998,3,1,103,1.1,0,0.2,0.2,8.0,5.0,0,0,0,0,0
Jeff Reine-Adélaïde,FRA,Midfielder,Lyon,Ligue 1,25,1998,14,1,336,3.7,0,1.0,0.8,0.9,20.0,32.0,25.0,0,0,0
Reinier,BRA,"Midfielder, FORWARD",Girona,La Liga,21,2002,10,3,348,3.9,1,1.0,1.0,1.0,1.0,0.2,1.2,5.0,10.0,0
Rocco Reitz,GER,Midfielder,M'Gladbach,Bundesliga,20,2002,1,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Karim Rekik,NED,Defender,Sevilla,La Liga,28,1994,10,9,664,7.4,1,1.0,2.0,1.0,0.7,0.7,0.7,10.0,5.0,0
Álex Remiro,ESP,Goalkeeper,Real Sociedad,La Liga,28,1995,26,26,"2,340",26.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panagiotis Retsos,GRE,Defender,Hellas Verona,Serie A,24,1998,2,1,122,1.4,0,0.1,0.1,2.0,2.0,0,0,0,0,0
Marco Reus,GER,"Midfielder, FORWARD",Dortmund,Bundesliga,33,1989,16,13,"1,096",12.2,6,4.0,10.0,5.0,4.2,1.0,2.0,27.0,1.9,5.4
Alejandro Revuelta Montero,ESP,Defender,Getafe,La Liga,22,2000,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Elvis Rexhbeçaj,GER,Midfielder,Augsburg,Bundesliga,25,1997,22,21,"1,796",20.0,0,5.0,0.2,0.6,12.0,70.0,16.0,0.01,0.04,0.01
Gio Reyna,USA,"Forward,Midfielder",Dortmund,Bundesliga,20,2002,16,4,533,5.9,5,5.0,4.0,1.0,2.9,1.0,2.1,18.0,3.0,20.0
Chadi Riad,MAR,Midfielder,Barcelona,La Liga,19,2003,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Ribaudo,ESP,"Forward,Midfielder",Espanyol,La Liga,21,2001,20,7,529,5.9,0,2.0,2.0,3.0,20.0,0.3,1.0,0,40.0,0
Alexsandro Ribeiro,BRA,Defender,Lille,Ligue 1,23,1999,12,7,802,8.9,3,3.0,3.0,2.0,0.9,0.9,39.0,5.0,0,0
Franck Ribéry,FRA,Midfielder,Salernitana,Serie A,39,1983,1,37,0.4,1.0,1,4.0,0,0,0.0,0.0,0.0,0,0,0
Samuele Ricci,ITA,Midfielder,Torino,Serie A,21,2001,18,14,"1,336",14.8,1,1.0,2.0,1.0,0.8,0.8,1.1,27.0,68.0,15.0
Declan Rice,ENG,Midfielder,West Ham,Premier League,24,1999,26,26,"2,340",26.0,2,1.0,3.0,2.0,1.8,4.0,1.0,66.0,3.9,174.0
Chris Richards,USA,Defender,Crystal Palace,Premier League,23,2000,8,3,357,4.0,0,0.7,0.3,1.0,2.0,1.0,0,0,0,0
Richarlison,BRA,"Midfielder, FORWARD",Tottenham,Premier League,25,1997,19,9,751,8.3,2,3.0,3.0,2.0,23.0,1.8,4.0,0,60.0,0
Marco Richter,GER,"Forward,Midfielder",Hertha BSC,Bundesliga,25,1997,22,15,"1,329",14.8,4,3.0,7.0,4.0,2.6,2.6,1.9,26.0,51.0,68.0
Diego Rico,ESP,Defender,Real Sociedad,La Liga,30,1993,18,16,"1,466",16.3,0,3.0,0.1,1.5,28.0,57.0,66.0,0.01,0.1,0.01
Jaïro Riedewald,NED,"Defender, Forward",Crystal Palace,Premier League,26,1996,4,49,0.5,1.0,1,0,0,0,0.0,0.0,0.0,0,0,0.0
Manuel Riemann,GER,Goalkeeper,Bochum,Bundesliga,34,1988,25,25,"2,250",25.0,0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Rincón,VEN,Midfielder,Sampdoria,Serie A,35,1988,23,19,"1,649",18.3,0,2.0,2.0,5.0,23.0,0.5,1.1,0.03,89.0,33.0
Rémy Riou,FRA,Goalkeeper,Lyon,Ligue 1,35,1987,7,6,601,6.7,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Renaud Ripart,FRA,"Forward,Midfielder",Troyes,Ligue 1,30,1993,25,14,"1,285",14.3,4,1.0,5.0,4.0,3.5,3.5,1.9,28.0,47.0,103.0
Rodrigo Riquelme,ESP,"Midfielder, FORWARD",Girona,La Liga,22,2000,25,19,"1,619",18.0,4,2.0,6.0,4.0,3.4,3.4,2.4,81.0,68.0,118.0
Matt Ritchie,SCO,"Forward,Midfielder",Newcastle Utd,Premier League,33,1989,5,37,0.4,0.1,0,0.1,6.0,0,0.0,0,0,0.0,0,0
Sergi Roberto,ESP,"Defender,Midfielder",Barcelona,La Liga,31,1992,17,10,947,10.5,4,1.0,5.0,4.0,1.9,1.9,0.7,34.0,73.0,49.0
Lucas Robertone,ARG,Midfielder,Almería,La Liga,26,1997,25,24,"1,922",21.4,1,5.0,6.0,1.0,1.9,1.9,5.1,32.0,107.0,71.0
Andrew Robertson,SCO,Defender,Liverpool,Premier League,29,1994,23,20,"1,772",19.7,1,6.0,6.0,2.0,51.0,4.3,5.5,0.06,154.0,0.3
Antonee Robinson,USA,Defender,Fulham,Premier League,25,1997,24,24,"2,098",23.3,76,1.0,1.0,6.0,0.0,1.1,87.0,0.0,0.04,0.04
Joel Roca,ESP,"Midfielder, FORWARD",Girona,La Liga,17,2005,4,67,0.7,1.0,0,0.2,0.2,12.0,1.0,0,0,0,0,0
Marc Roca,ESP,Midfielder,Leeds United,Premier League,26,1996,23,21,"1,621",18.0,1,2.0,3.0,1.0,1.1,1.1,1.6,17.0,124.0,17.0
Enzo Roco,CHI,Defender,Elche,La Liga,30,1992,19,18,"1,475",16.4,0,6.0,1.0,0.6,5.0,32.0,2.0,0.04,0.04,0.04
Marek Rodák,SVK,Goalkeeper,Fulham,Premier League,26,1996,2,2,180,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Sebastian Rode,GER,Midfielder,Eint Frankfurt,Bundesliga,32,1990,20,12,941,10.5,4,1.0,5.0,4.0,0.7,0.7,0.8,17.0,61.0,25.0
Joe Rodon,WAL,Defender,Rennes,Ligue 1,25,1997,14,14,"1,237",13.7,1,1.0,1.0,2.0,0.9,0.9,0.9,3.0,0.07,0.07
Rodri,ESP,Midfielder,Manchester City,Premier League,26,1996,26,26,"2,237",24.9,2,5.0,7.0,2.0,3.9,3.9,3.9,65.0,214.0,34.0
Rodrigo,ESP,"Forward,Midfielder",Leeds United,Premier League,32,1991,20,17,"1,345",14.9,11,1.0,12.0,10.0,6.9,1.0,3.0,33.0,1.5,7.5
Rodrigo,ESP,"Forward,Midfielder",Betis,La Liga,22,2000,19,15,"1,150",12.8,2,1.0,3.0,2.0,1.2,0.8,2.0,33.0,78.0,0.08
Ángel Rodríguez,ESP,"Forward,Midfielder",Mallorca,La Liga,35,1987,11,1,266,3.0,1,1.8,0.1,1.9,2.0,14.0,0,0,0,0
Óscar Rodríguez Arnaiz,ESP,Midfielder,Celta Vigo,La Liga,24,1998,24,14,"1,290",14.3,2,2.0,2.0,5.0,3.1,1.5,4.6,25.0,31.0,0.14
Dani Rodríguez,ESP,Midfielder,Mallorca,La Liga,34,1988,25,20,"1,541",17.1,3,3.0,6.0,3.0,1.5,1.5,1.4,27.0,58.0,50.0
Guido Rodríguez,ARG,Midfielder,Betis,La Liga,28,1994,22,21,"1,792",19.9,0,6.0,0.4,0.2,8.0,76.0,13.0,0.02,0.03,0.02
Pablo Rodríguez,ESP,"Forward,Midfielder",Lecce,Serie A,21,2001,4,54,0.6,3.0,2,7.0,0,0,0.0,0,0,0,0,0
Ricardo Rodríguez,SUI,Defender,Torino,Serie A,30,1992,24,19,"1,777",19.7,0,1.0,0.3,1.1,26.0,95.0,26.0,0.01,0.07,0.01
Rodrygo,BRA,Forward,Real Madrid,La Liga,22,2001,23,16,"1,575",17.5,4,5.0,9.0,3.0,8.9,1.0,2.0,87.0,5.3,13.4
Mads Roerslev,DEN,Defender,Brentford,Premier League,23,1999,15,10,934,10.4,0,0.3,1.0,1.3,8.0,31.0,0.09,0.03,0.03,0.13
Agustín Rogel,URU,Defender,Hertha BSC,Bundesliga,25,1997,14,12,"1,103",12.3,0,1.0,1.0,6.0,1.0,0.8,19.0,0.06,0.08,0.08
Rogério,BRA,Defender,Sassuolo,Serie A,25,1998,25,24,"2,095",23.3,0,2.0,2.0,5.0,64.0,1.2,1.6,0.02,67.0,0.09
Merlin Röhl,GER,Midfielder,Freiburg,Bundesliga,20,2002,1,13,0.1,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Alessio Romagnoli,ITA,Defender,Lazio,Serie A,28,1995,24,23,"2,042",22.7,1,1.0,1.0,2.0,0.5,0.1,0.6,3.0,2.0,0.04
Simone Romagnoli,ITA,Defender,Lecce,Serie A,33,1990,1,26,0.3,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Cristian Romero,ARG,Defender,Tottenham,Premier League,24,1998,19,18,"1,644",18.3,0,7.0,1.0,0.8,16.0,1.0,65.0,0.04,0.01,0.06
Iván Romero,ESP,Midfielder,Sevilla,La Liga,21,2001,1,11,0.1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Luka Romero,ARG,Forward,Lazio,Serie A,18,2004,6,1,151,1.7,1,1.0,1.0,0.9,0.9,0.9,4.0,4.0,0,0
Oriol Romeu,ESP,Midfielder,Southampton,Premier League,31,1991,1,1,74,0.8,2,4.0,0,0,0.0,0.0,0.0,0,0,0
Oriol Romeu,ESP,Midfielder,Girona,La Liga,31,1991,22,22,"1,964",21.8,1,1.0,1.0,6.0,1.4,0.7,2.1,10.0,15.0,0.05
Cristiano Ronaldo,POR,Forward,Manchester Utd,Premier League,38,1985,10,4,525,5.8,1,1.0,1.0,2.0,1.9,0.4,2.3,9.0,33.0,0
Connor Ronan,IRL,Midfielder,Wolves,Premier League,25,1998,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Salomón Rondón,VEN,Forward,Everton,Premier League,33,1989,7,1,109,1.2,0,0.8,0.2,1.0,0.0,7.0,0,0,0,0
Valentin Rongier,FRA,Midfielder,Marseille,Ligue 1,28,1994,27,25,"2,222",24.7,1,1.0,1.0,6.0,0.8,1.3,2.2,31.0,49.0,0.04
Marten de Roon,NED,Midfielder,Atalanta,Serie A,31,1991,24,23,"1,974",21.9,1,1.0,2.0,1.0,0.7,0.7,0.4,10.0,103.0,13.0
Pablo Rosario,NED,"Midfielder, Defender",Nice,Ligue 1,26,1997,22,11,"1,219",13.5,0,1.0,1.0,5.0,15.0,1.7,2.2,0.04,27.0,0.07
Tom Rothe,GER,Defender,Dortmund,Bundesliga,18,2004,2,26,0.3,0.1,0,0.1,2.0,0,0.0,0,0,0,0,0
Joe Rothwell,ENG,Midfielder,Bournemouth,Premier League,28,1995,12,4,452,5.0,2,1.0,1.0,0.4,0.0,12.0,3.0,0,0,0
Anthony Rouault,FRA,Defender,Toulouse,Ligue 1,21,2001,28,28,"2,512",27.9,2,1.0,3.0,2.0,2.8,2.8,0.8,10.0,102.0,6.0
Jérôme Roussillon,FRA,"Midfielder, Defender",Wolfsburg,Bundesliga,30,1993,4,22,0.2,2.0,0,0,0,0,0.0,0,0,0.0,0,0.0
Jérôme Roussillon,FRA,Defender,Union Berlin,Bundesliga,30,1993,8,3,281,3.1,0,1.0,0.1,0.1,4.0,14.0,0,0,0,0
Nicolò Rovella,ITA,Midfielder,Monza,Serie A,21,2001,14,12,"1,038",11.5,0,3.0,1.0,0.5,14.0,1.5,66.0,0.04,0.09,0.13
Nicolò Rovella,ITA,Midfielder,Juventus,Serie A,21,2001,3,27,0.3,1.0,0,0.1,0.1,1.0,1.0,0,0,0,0,0
Amir Rrahmani,KVX,Defender,Napoli,Serie A,29,1994,20,19,"1,727",19.2,2,1.0,3.0,2.0,1.5,1.5,0.8,11.0,80.0,2.0
Ruan,BRA,Defender,Sassuolo,Serie A,23,1999,13,11,929,10.3,0,5.0,1.0,0.4,2.0,7.0,1.0,0.04,0.04,0.04
Rubén,ESP,"Defender,Midfielder",Espanyol,La Liga,22,2001,14,6,650,7.2,0,2.0,2.0,1.0,28.0,1.5,1.9,0,46.0,0
Antonio Rüdiger,GER,Defender,Real Madrid,La Liga,30,1993,23,17,"1,603",17.8,1,1.0,1.0,1.0,1.4,0.1,1.5,8.0,3.0,0.06
Sebastian Rudy,GER,Midfielder,Hoffenheim,Bundesliga,33,1990,15,4,541,6.0,0,1.0,1.0,2.0,5.0,0.4,0.5,0,4.0,0
Daniele Rugani,ITA,Defender,Juventus,Serie A,28,1994,5,4,355,3.9,0,0.3,0.3,5.0,2.0,0,0,0,0,0
Matteo Ruggeri,ITA,"Defender,Midfielder",Atalanta,Serie A,20,2002,14,7,739,8.2,0,1.0,1.0,3.0,19.0,0.9,1.5,0,59.0,0
Mário Rui,POR,Defender,Napoli,Serie A,31,1991,19,18,"1,495",16.6,0,6.0,6.0,2.0,46.0,0.5,3.5,0.03,131.0,81.0
Aitor Ruibal,ESP,"Defender, Forward",Betis,La Liga,27,1996,20,11,"1,084",12.0,0,3.0,0.6,1.5,29.0,44.0,50.0,0.05,0.18,0.05
Kays Ruiz,MAR,Midfielder,Auxerre,Ligue 1,20,2002,1,1,62,0.7,1,1.0,2.0,0,0.0,0.0,0.0,0,0,0
Fabián Ruiz Peña,ESP,Midfielder,Paris S-G,Ligue 1,26,1996,19,16,"1,324",14.7,1,1.0,2.0,1.0,1.6,1.3,2.9,19.0,56.0,0.07
Víctor Ruiz,ESP,Defender,Betis,La Liga,34,1989,10,5,560,6.2,0,0.1,0.2,0.3,4.0,0,0,0,0,0
Gerónimo Rulli,ARG,Goalkeeper,Villarreal,La Liga,30,1992,14,14,"1,260",14.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Russo,ARG,Defender,Mallorca,La Liga,28,1994,3,2,145,1.6,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Georginio Rutter,FRA,"Forward,Midfielder",Leeds United,Premier League,20,2002,7,1,188,2.1,0,0.3,0.1,0.4,5.0,12.0,0,0,0,0
Georginio Rutter,FRA,Forward,Hoffenheim,Bundesliga,20,2002,15,11,"1,009",11.2,2,2.0,4.0,2.0,3.0,3.0,2.3,32.0,25.0,75.0
Julian Ryerson,NOR,Defender,Union Berlin,Bundesliga,25,1997,13,12,"1,037",11.5,0,2.0,0.7,0.5,20.0,32.0,32.0,0.06,0.1,0.06
Julian Ryerson,NOR,Defender,Dortmund,Bundesliga,25,1997,8,8,706,7.8,1,1.0,1.0,2.0,0.4,0.8,1.1,27.0,30.0,0
Frederik Rønnow,DEN,Goalkeeper,Union Berlin,Bundesliga,30,1992,21,21,"1,890",21.0,0,1.0,1.0,2.0,0.0,0.05,0.05,0.0,0.0,0.0
José Sá,POR,Goalkeeper,Wolves,Premier League,30,1993,28,28,"2,520",28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youssouf Sabaly,SEN,Defender,Betis,La Liga,30,1993,18,14,"1,275",14.2,0,1.0,1.0,1.0,34.0,0.6,1.0,0.02,47.0,0.07
Halid abanovic,BIH,"Defender, Forward",Angers,Ligue 1,23,1999,7,4,333,3.7,1,1.0,1.0,14.0,0.0,0,0,0,0,0
Abdelhamid Sabiri,MAR,Midfielder,Sampdoria,Serie A,26,1996,16,12,"1,006",11.2,2,2.0,1.0,1.0,2.9,4.0,1.2,7.0,2.6,47.0
Marcel Sabitzer,AUT,Midfielder,Manchester Utd,Premier League,29,1994,5,3,275,3.1,0,1.0,0.2,0.5,1.0,23.0,6.0,0,0,0
Marcel Sabitzer,AUT,Midfielder,Bayern Munich,Bundesliga,29,1994,15,7,628,7.0,1,1.0,2.0,1.0,1.1,1.1,0.4,7.0,52.0,19.0
Falaye Sacko,MLI,Defender,Montpellier,Ligue 1,27,1995,25,20,"1,796",20.0,0,3.0,3.0,2.0,34.0,1.0,1.4,0.02,57.0,0.15
Umar Sadiq,NGA,Forward,Almería,La Liga,26,1997,3,3,240,2.7,2,2.0,2.0,1.0,1.5,0.2,1.6,5.0,7.0,0
Umar Sadiq,NGA,Forward,Real Sociedad,La Liga,26,1997,2,1,82,0.9,1,1.0,1.0,0.5,0.5,1.0,6.0,0,0,0
Alexis Saelemaekers,BEL,"Forward, Defender",Milan,Serie A,23,1999,19,10,872,9.7,0,2.0,2.0,1.0,30.0,1.5,2.3,0.08,90.0,0.21
Wesley Saïd,FRA,"Forward,Midfielder",Lens,Ligue 1,27,1995,17,6,597,6.6,5,5.0,5.0,2.0,3.1,0.9,4.0,15.0,56.0,0
Allan Saint-Maximin,FRA,Forward,Newcastle Utd,Premier League,26,1997,18,9,867,9.6,1,3.0,4.0,1.0,1.3,1.3,2.2,60.0,52.0,88.0
Théo Sainte-Luce,FRA,Defender,Montpellier,Ligue 1,24,1998,5,5,355,3.9,1,1.0,2.0,1.0,0.4,0.6,1.0,3.0,29.0,0
Samuel Sáiz,ESP,Midfielder,Girona,La Liga,32,1991,8,1,240,2.7,2,2.0,2.0,2.0,1.7,0.1,0.2,5.0,17.0,18.0
Bukayo Saka,ENG,Forward,Arsenal,Premier League,21,2001,28,28,"2,403",26.7,12,10.0,22.0,10.0,8.8,2.0,5.0,131.0,6.6,14.0
